Field,Data assumptions,Taxonworks content type,Taxonworks field name,Notes or processing instructions,Standard
field_basis_of_record,"One of:
Fossil Specimen
Human observation
Living specimen
Machine observation
Preserved specimen
Occurence
Material Sample",See notes above,N/A,N/A,Darwincore
field_catalogue_number,,Identifier::Local::CatalogNumber,identifier,Must include a back reference to the taxonworks Collection/Source object,
field_collection_code,,Identifier::Local,identifier,“,
field_collector,,,,,
field_collector_number,,,,,
field_count,,,,,
field_date_collected,,,,,
field_date_identified,,,,,
field_genbank_number,,,,,
field_identification_qualifier,,,,,
field_identified_by,,,,,
field_institution_code,,,,,
field_lifestage,,,,,
field_location,,,,,
field_media,,,,,
field_notes,,,,,
field_number,,,,,
field_other_catalogue_numbers,,,,,
field_remarks,,,,,
field_sex,,,,,
field_taxonomic_name,,,,,
field_type_status,,,,,
