Field,Data assumptions,Taxonworks content type,Taxonworks field name,Notes or processing instructions,Standard,
title,string,CollectingEvent,verbatim_label,,,
field_map,gm3 point,CollectingEvent,verbatim_latitude/verbatim_longitude,,,
field_country,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/country,
field_continent_or_ocean,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/higherGeography,higherGeography
field_locality,string,CollectingEvent,verbatim_locality,,http://rs.tdwg.org/dwc/terms/locality,
field_state_province,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/locality,
field_county,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/county,
field_max_elevation,string,CollectingEvent,maximum_elevation,,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,
field_coordinate_system,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,
field_coordinate_uncertainty,string,CollectingEvent,verbatim_geolocation_uncertainty,,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,
field_geodetic_datum,string,CollectingEvent,verbatim_datum,,http://rs.tdwg.org/dwc/terms/geodeticDatum,
field_min_elevation,string,CollectingEvent,minimum_elevation,,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,
field_island,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/island,
field_georeference_remarks,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/georeferenceRemarks,
field_island_group,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/islandGroup,
field_max_depth,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,
field_min_depth,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,
field_georeference_protocol,string,DataAttribute,,The predicate must be defined first,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,
