Field,Data assumptions,Taxonworks content type,Taxonworks field name,Notes or processing instructions,Standard
field_user_country,,,,,
field_homepage,,,,,
field_user_family_name,string,Person,last_name,,
field_user_given_names,string,,first_name,,
field_user_institution,,,,,
field_user_taxonomic_interest,,,,,
field_user_title,,,,,
field_city,,,,,
field_department,,,,,
field_postcode,,,,,
field_province,,,,,
field_publications,,,,,
field_references,,,,,
field_street,,,,,
field_telephone_fax,,,,,
field_telephone_voice,,,,,
field_alternative_name,,,,,
field_areas_of_professional_inte,,,,,
field_biography,,,,,
field_birth_date,,,year_born,,
field_birth_place,,,,,
field_comments,,,,,
field_death_date,,,year_died,,
field_example_of_handwriting,,,,,
field_gender,,,,,
field_known_for,,,,,
field_main_collaborators_co_auth,,,,,
field_make_this_profile_public_,bool,,,,
field_orcid,,Identifier::Global::Orcid,,,
field_places_worked,,,,,
field_related_links,,,,,
field_standard_form,,,,,
field_user_keywords,,,,,
field_phth_associated_images,,,,,
twitter_accounts,,,,,
