Field,Data assumptions,Taxonworks content type,Taxonworks field name,Notes or processing instructions,Standard
title,string,Source::Bibtex,title,,
biblio_type,"integer representing item from biblio_types table (one of: 
journal article, conference paper, book chapter, miscelaneous)",Source::Bibtex,bibtex_type,"Value needs to be mapped to bibtex type string (https://www.bibtex.com/e/entry-types/); “journal article”=>article, “conference paper”=>conference, “book chapter”=>inbook, “miscelaneous”=>misc",Bibtex
biblio_number,string,Source::Bibtex,number,,Bibtex
biblio_other_number,,,,,
biblio_sort_title,,n/a,n/a,Derrived from title,
biblio_secondary_title,,,,,
biblio_tertiary_title,,,,,
biblio_edition,string,Source::Bibtex,edition,,Bibtex
biblio_publisher,Publisher name as string,Source::Bibtex,publisher,,
biblio_place_published,Publisher location as string,Source::Bibtex,address,,Bibtex
biblio_year,Integer > 0 (other TAXONWORKS RESTRICTIONS?),Source::Bibtex,year,,Bibtex
biblio_volume,String,Source::Bibtex,volume,,Bibtex
biblio_pages,,,,,
biblio_date,,,,,
biblio_isbn,ISBN number,Source::Bibtex,isbn,,
biblio_lang,3 letter ISO 639-2 language code,Source::Bibtex,language,,Bibtex
biblio_abst_e,abstract as html,Source::Bibtex,abstract,,Bibtex
biblio_abst_f,,,,,
biblio_full_text,,,,,
biblio_url,url,Source::Bibtex,url,,
biblio_issue,,,,,
biblio_type_of_work,,,,,
biblio_accession_number,,,,,
biblio_call_number,,,,,
biblio_notes,,,,,
biblio_custom1,,,,,
biblio_custom2,,,,,
biblio_custom3,,,,,
biblio_custom4,,,,,
biblio_custom5,,,,,
biblio_custom6,,,,,
biblio_custom7,,,,,
biblio_research_notes,,,,,
biblio_number_of_volumes,,,,,
biblio_short_title,,,,,
biblio_alternate_title,,,,,
biblio_original_publication,,,,,
biblio_reprint_edition,,,,,
biblio_translated_title,,,,,
biblio_section,,,,,
biblio_citekey,,,,,
biblio_coins,,,,,
biblio_doi,doi,Source::Bibtex,doi,,Bibtex
biblio_issn,issn,Source::Bibtex,issn,,
biblio_auth_address,,,,,
biblio_remote_db_name,,,,,
biblio_remote_db_provider,,,,,
biblio_label,,,,,
biblio_access_date,,,,,
biblio_refereed,String enum (None|Refereed|Non-Refereed|Does Not Apply|Unknown),,,,
biblio_md5,md5 hash,,,,
biblio_type_name,"string representing type name from biblio_types table  (one of: 
journal article, conference paper, book chapter, miscelaneous)",,,,
biblio_contributors,array of biblio_contributor objects,,,,
biblio_keywords,array of strings,,,,
body,Full publication body as html,,,,
field_taxonomic_name,tid of associated taxon,,,,
field_file,array of associated file objects,,,,
field_front_cover,,,,,
